Departure,Destination,Distance
AER,KZN,1506.83
ASF,KZN,1040.44
ASF,MRV,448.16
CEK,KZN,770.51
CEK,OVB,1338.63
DME,KZN,715.65
DME,NBC,892.38
DME,TGK,915.29
DME,UUA,951.43
EGO,KGD,1171.88
EGO,KZN,1008.25
GYD,NBC,1685.43
KGD,EGO,1171.88
KZN,AER,1506.83
KZN,ASF,1040.44
KZN,CEK,770.51
KZN,DME,715.65
KZN,EGO,1008.25
KZN,LED,1216.84
KZN,SVX,723.52
LED,KZN,1216.84
LED,NBC,1372.89
LED,UUA,1464.06
MRV,ASF,448.16
NBC,DME,892.38
NBC,GYD,1685.43
NBC,LED,1372.89
NBC,SVX,554.7
NJC,SVX,1012.6
NJC,UUA,1557.17
NUX,SVX,1324.61
OVB,CEK,1338.63
OVB,SVX,1370.3
SVX,KZN,723.52
SVX,NBC,554.7
SVX,NJC,1012.6
SVX,NUX,1324.61
SVX,OVB,1370.3
TGK,DME,915.29
UUA,DME,951.43
UUA,LED,1464.06
UUA,NJC,1557.17
BTK,IKT,488.34
BTK,OVB,1199.36
CEK,OVB,1338.63
HTA,IKT,608.64
IKT,BTK,488.34
IKT,HTA,608.64
IKT,KCK,655.19
IKT,ODO,882.19
IKT,OVB,1458.82
IKT,UKX,517.49
IKT,ULK,1134.54
IKT,YKS,1860.02
KCK,IKT,655.19
MJZ,OVB,1967.49
ODO,IKT,882.19
OVB,BTK,1199.36
OVB,CEK,1338.63
OVB,IKT,1458.82
UKX,IKT,517.49
ULK,IKT,1134.54
YKS,IKT,1860.02
AYP,LIM,339.98
CUZ,LIM,585.91
CUZ,PEM,310.93
HUU,LIM,258.16
IQT,PCL,529.55
IQT,TPP,454.86
LIM,AYP,339.98
LIM,CUZ,585.91
LIM,HUU,258.16
LIM,PCL,491.34
LIM,TPP,618.4
PCL,IQT,529.55
PCL,LIM,491.34
PCL,TPP,287.29
PEM,CUZ,310.93
TPP,IQT,454.86
TPP,LIM,618.4
TPP,PCL,287.29
ABJ,BOY,657.42
ABJ,OUA,831.93
ACC,OUA,764.74
BKO,ABJ,921.4
BKO,DKR,1059.57
BKO,OUA,699.27
BOY,ABJ,657.42
BOY,OUA,334.28
COO,LFW,126.69
COO,OUA,791.91
DKR,BKO,1059.57
DKR,OUA,1747.04
LFW,OUA,751.99
NIM,OUA,419.76
OUA,ABJ,831.93
OUA,ACC,764.74
OUA,BKO,699.27
OUA,BOY,334.28
OUA,COO,791.91
OUA,DKR,1747.04
OUA,LFW,751.99
OUA,NIM,419.76
BOG,GYE,993.94
BOG,UIO,712.23
CLO,GYE,743.84
GYE,BOG,993.94
GYE,CLO,743.84
GYE,SCY,1090.79
GYE,UIO,282.22
OCC,UIO,156.86
SCY,GYE,1090.79
UIO,BOG,712.23
UIO,GYE,282.22
UIO,OCC,156.86
BDS,ZRH,1064.74
BOD,ZRH,770.97
BRS,ZRH,922.76
GVA,LPA,2771.11
LCA,ZRH,2505.17
LPA,ZRH,3001.18
RMF,ZRH,3337.44
TFS,GVA,2832.34
ZRH,BDS,1064.74
ZRH,BOD,770.97
ZRH,BRS,922.76
ZRH,LCA,2505.17
ZRH,LPA,3001.18
ZRH,RMF,3337.44
AJR,LYC,118.86
ARN,GEV,843.98
ARN,HAD,444.48
ARN,JKG,306.21
ARN,KRF,377.78
ARN,KSD,259.15
ARN,LYC,546.02
ARN,MHQ,122.19
ARN,OER,421.52
ARN,POR,292.33
ARN,VBY,222.56
ARN,VHM,550.76
ARN,VXO,355.49
GEV,ARN,843.98
GEV,KRF,475.84
HAD,ARN,444.48
HAD,JKG,140.39
HAD,VXO,119.1
HMV,VHM,159
JKG,ARN,306.21
JKG,HAD,140.39
KOK,POR,260.47
KRF,ARN,377.78
KRF,GEV,475.84
KSD,ARN,259.15
LYC,AJR,118.86
LYC,ARN,546.02
MHQ,ARN,122.19
MHQ,TKU,137.29
OER,ARN,421.52
OSL,VXO,414.06
POR,ARN,292.33
POR,KOK,260.47
TKU,MHQ,137.29
VBY,ARN,222.56
VHM,ARN,550.76
VHM,HMV,159
VXO,ARN,355.49
VXO,OSL,414.06
ADQ,AOS,85.77
ADQ,KKB,49.56
ADQ,KLN,91.49
ADQ,KOZ,19.23
ADQ,OLH,75.15
AOS,KZB,10.51
KKB,SYB,8.06
KLN,KYK,28.38
KOZ,ORI,20.84
SYB,KPR,36.28
BSO,MNL,668.59
BXU,MNL,785.66
CBO,MNL,887.66
CGY,MNL,754.91
CRM,MNL,450.11
DGT,MNL,626.57
DWC,MNL,6929.06
GES,MNL,1039.92
KLO,MNL,347.18
LGP,MNL,329.39
MNL,BSO,668.59
MNL,BXU,785.66
MNL,CBO,887.66
MNL,CGY,754.91
MNL,CRM,450.11
MNL,DGT,626.57
MNL,DWC,6929.06
MNL,GES,1039.92
MNL,KLO,347.18
MNL,LGP,329.39
MNL,MPH,304.6
MNL,OZC,768.11